"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test 500 on unexpected exception.","4","test_get_stock_unexpected_exception","tests.api","Fri Feb 06 10:21:35 UTC 2026","passed","Fri Feb 06 10:21:35 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test 404 error response format.","2","test_404_not_found_format","tests.unit","Fri Feb 06 10:21:33 UTC 2026","passed","Fri Feb 06 10:21:33 UTC 2026","TestErrorResponseFormats","test_main","",""
"Sunday through Thursday should be working days.","1","test_is_working_day_sunday_to_thursday","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestCalendarUtilities","test_calendar_workweek","",""
"Test validation on procurement suggest endpoint.","23","test_procurement_suggest_validation","tests.api","Fri Feb 06 10:21:35 UTC 2026","passed","Fri Feb 06 10:21:35 UTC 2026","TestProcurementSuggestEndpoint","test_endpoints","",""
"Test: STRICT_FAIL mode when promise <= desired_date (succeeds).","0","test_strict_fail_on_time","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"If today is Friday, base_date should be Sunday when no_weekends=True.","15","test_base_date_friday_moves_to_sunday","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestPromiseCalculationWithCalendar","test_calendar_workweek","",""
"Test applying promise with comment only.","1","test_apply_promise_with_comment_only","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestApplyServiceSuccessPath","test_apply_service","",""
"Test: Warehouse-specific processing lead time overrides default.","1","test_processing_lead_time_warehouse_override","tests.unit","Fri Feb 06 10:21:33 UTC 2026","passed","Fri Feb 06 10:21:33 UTC 2026","TestProcessingLeadTime","test_processing_lead_time","",""
"Test that ERPNext API credentials exist.","0","test_settings_api_key_required","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestSettingsConfiguration","test_config","",""
"Finished Goods warehouses should be NEEDS_PROCESSING.","0","test_needs_processing_warehouses","tests.unit","Fri Feb 06 10:21:33 UTC 2026","passed","Fri Feb 06 10:21:33 UTC 2026","TestWarehouseClassification","test_warehouse_handling","",""
"Test generic Exception handling in calculate_promise.","27","test_calculate_promise_generic_exception","tests.api","Fri Feb 06 10:21:35 UTC 2026","passed","Fri Feb 06 10:21:35 UTC 2026","TestOTPEndpointExceptionHandlers","test_endpoints","",""
"Test that 500 error raises ERPNextClientError.","2","test_handles_500_server_error","tests.unit","Fri Feb 06 10:21:32 UTC 2026","passed","Fri Feb 06 10:21:32 UTC 2026","TestERPNextClientHTTPErrors","test_erpnext_client","",""
"Test health check when stock balance check raises exception.","4","test_health_exception_during_stock_balance_check","tests.api","Fri Feb 06 10:21:35 UTC 2026","passed","Fri Feb 06 10:21:35 UTC 2026","TestHealthEndpointMockSupply","test_endpoints","",""
