"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test 502 when ERPNext returns other error.","4","test_get_stock_erpnext_502_error","tests.api","Tue Feb 10 09:36:13 UTC 2026","passed","Tue Feb 10 09:36:13 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test incoming supply with no POs.","1","test_get_incoming_supply_empty","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestStockServiceGetIncomingSupply","test_stock_service","",""
"Test that validation errors return 422 Unprocessable Entity.","82","test_promise_validation_error_returns_422","tests.api","Tue Feb 10 09:36:13 UTC 2026","passed","Tue Feb 10 09:36:13 UTC 2026","TestPromiseEndpointErrorHandling","test_endpoints","",""
"Test generic exception handling in get_sales_order_detail.","5","test_get_sales_order_detail_generic_exception","tests.api","Tue Feb 10 09:36:13 UTC 2026","passed","Tue Feb 10 09:36:13 UTC 2026","TestOTPEndpointExceptionHandlers","test_endpoints","",""
"Test material request creation with success, non-dict response, and empty items.","69","test_create_material_request_various_scenarios","tests.unit","Tue Feb 10 09:36:04 UTC 2026","passed","Tue Feb 10 09:36:04 UTC 2026","TestERPNextClientMaterialRequest","test_erpnext_client","",""
"Test stock retrieval for same item in different warehouses.","8","test_get_stock_multiple_warehouses","tests.api","Tue Feb 10 09:36:13 UTC 2026","passed","Tue Feb 10 09:36:13 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Stock in Stores should be available immediately.","0","test_sellable_warehouse_available_immediately","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestPromiseCalculationWithWarehouses","test_warehouse_handling","",""
"Test 404 error response format.","2","test_404_not_found_format","tests.unit","Tue Feb 10 09:36:10 UTC 2026","passed","Tue Feb 10 09:36:10 UTC 2026","TestErrorResponseFormats","test_main","",""
"Test that OTP router endpoints are accessible.","3","test_otp_router_included","tests.unit","Tue Feb 10 09:36:10 UTC 2026","passed","Tue Feb 10 09:36:10 UTC 2026","TestRouterInclusion","test_main","",""
"Unmapped warehouses should match by pattern.","0","test_pattern_matching","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestWarehouseClassification","test_warehouse_handling","",""
"Test response unwrapping for data, message, and raw responses.","220","test_response_unwrapping","tests.unit","Tue Feb 10 09:36:03 UTC 2026","passed","Tue Feb 10 09:36:03 UTC 2026","TestERPNextClientHTTPErrors","test_erpnext_client","",""
"When no_weekends=False, Friday and Saturday should be allowed.","0","test_no_weekends_false_allows_friday_saturday","tests.unit","Tue Feb 10 09:36:03 UTC 2026","passed","Tue Feb 10 09:36:03 UTC 2026","TestPromiseCalculationWithCalendar","test_calendar_workweek","",""
"Test graceful handling when data file is missing.","1","test_missing_data_file","tests.unit","Tue Feb 10 09:36:10 UTC 2026","passed","Tue Feb 10 09:36:10 UTC 2026","TestMockSupplyService","test_mock_supply_service","",""
"Test that error detail is included in development mode.","1","test_global_exception_handler_detail_in_development","tests.unit","Tue Feb 10 09:36:07 UTC 2026","passed","Tue Feb 10 09:36:07 UTC 2026","TestGlobalExceptionHandler","test_main","",""
"Test that settings values are consistent.","0","test_settings_immutable_behavior","tests.unit","Tue Feb 10 09:36:03 UTC 2026","passed","Tue Feb 10 09:36:03 UTC 2026","TestGlobalSettingsInstance","test_config","",""
"Test _parse_po_row with valid and invalid data.","1","test_parse_po_rows_edge_cases","tests.unit","Tue Feb 10 09:36:10 UTC 2026","passed","Tue Feb 10 09:36:10 UTC 2026","TestMockSupplyServiceParsing","test_mock_supply_service","",""
"Test that unexpected exceptions are propagated (or handled if not wrapped).","1","test_get_available_stock_exception_handled","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestStockServiceGetAvailableStock","test_stock_service","",""
"Test: Weekend rules applied after processing lead time.","1","test_processing_lead_time_with_weekends","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestProcessingLeadTime","test_processing_lead_time","",""
"Test: IN_TRANSIT warehouse stock is ignored.","1","test_warehouse_in_transit_ignored","tests.unit","Tue Feb 10 09:36:11 UTC 2026","passed","Tue Feb 10 09:36:11 UTC 2026","TestPromiseService","test_promise_service","",""
"Test that settings loads with default values.","0","test_settings_loads_defaults","tests.unit","Tue Feb 10 09:36:03 UTC 2026","passed","Tue Feb 10 09:36:03 UTC 2026","TestSettingsConfiguration","test_config","",""
