"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that other errors are flagged with other_error.","2","test_get_incoming_supply_other_error_handled","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestStockServiceGetIncomingSupply","test_stock_service","",""
"Test: NO_EARLY_DELIVERY mode when promise < desired_date (adjust to desired).","1","test_no_early_delivery_promise_earlier","tests.unit","Sun Feb 08 12:00:03 UTC 2026","passed","Sun Feb 08 12:00:03 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"Test: Multiple items, promise is max of all item dates.","1","test_multi_item_promise","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestPromiseService","test_promise_service","",""
"Verify endpoint appears in OpenAPI schema.","122","test_sales_order_details_is_in_openapi","tests.api","Sun Feb 08 12:00:12 UTC 2026","passed","Sun Feb 08 12:00:12 UTC 2026","","test_sales_order_details_endpoint","",""
"Test: IN_TRANSIT warehouse stock is ignored.","1","test_warehouse_in_transit_ignored","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestPromiseService","test_promise_service","",""
"Test that settings loads with default values.","0","test_settings_loads_defaults","tests.unit","Sun Feb 08 12:00:03 UTC 2026","passed","Sun Feb 08 12:00:03 UTC 2026","TestSettingsConfiguration","test_config","",""
"Test that PO data is transformed to expected format.","0","test_transforms_po_data_correctly","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestStockServiceDataTransformation","test_stock_service","",""
"Expand list with no groups returns same list.","0","test_expand_warehouse_list_no_groups","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestWarehouseGroupExpansion","test_warehouse_handling","",""
"Test: Desired date set and promise meets it → on_time=True.","1","test_desired_date_on_time","tests.unit","Sun Feb 08 12:00:10 UTC 2026","passed","Sun Feb 08 12:00:10 UTC 2026","TestPromiseService","test_promise_service","",""
"Test that port must be positive integer.","0","test_settings_port_positive_integer","tests.unit","Sun Feb 08 12:00:03 UTC 2026","passed","Sun Feb 08 12:00:03 UTC 2026","TestSettingsPydanticValidation","test_config","",""
