"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that missing required fields return 422.","4","test_promise_missing_required_field_returns_422","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestPromiseEndpointErrorHandling","test_endpoints","",""
"Test: LATEST_ACCEPTABLE mode when promise > desired_date (late).","2","test_latest_acceptable_late","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"Test that confidence field update failure is silently ignored.","2","test_confidence_field_failure_ignored","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceErrorHandling","test_apply_service","",""
"Test that get_controller uses MockSupplyService when enabled.","1","test_get_controller_with_mock_supply_enabled","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestRoutesDependencyInjection","test_main","",""
"Test 400 when warehouse is empty string.","2","test_get_stock_empty_warehouse","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test all query parameters are correctly passed to client.","5","test_query_params_mapping","tests.api","Sat Feb 07 16:08:27 UTC 2026","passed","Sat Feb 07 16:08:27 UTC 2026","","test_sales_orders_endpoint","",""
"Test that limit is clamped to maximum of 100.","5","test_sales_orders_limit_clamped_to_100","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestSalesOrderListFilters","test_endpoints","",""
"Test applying promise with custom comment text.","1","test_apply_promise_with_custom_comment_text","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceSuccessPath","test_apply_service","",""
"Test: Item override has highest priority in hierarchy.","0","test_processing_lead_time_hierarchy_item_beats_all","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestProcessingLeadTime","test_processing_lead_time","",""
"Test that custom field failure is handled gracefully.","2","test_custom_field_failure_handled_gracefully","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceErrorHandling","test_apply_service","",""
"Test: NO_EARLY_DELIVERY mode when promise > desired_date (late, not adjusted).","1","test_no_early_delivery_promise_later","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"Test that validation errors return 422.","4","test_apply_validation_error_returns_422","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestApplyEndpointErrorHandling","test_endpoints","",""
"Test: STRICT_FAIL mode when promise > desired_date (raises ValueError).","0","test_strict_fail_late_raises_error","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"Test that other errors are flagged with other_error.","3","test_get_incoming_supply_other_error_handled","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestStockServiceGetIncomingSupply","test_stock_service","",""
"Test that quantity values are converted to float.","4","test_get_stock_response_type_conversion","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test: Desired date set but promise is late → suggestions offered.","1","test_desired_date_late","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Unmapped warehouses should match by pattern.","1","test_pattern_matching","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestWarehouseClassification","test_warehouse_handling","",""
"Test material request creation with empty items list.","0","test_empty_items_list_material_request","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceEdgeCases","test_apply_service","",""
"Test response with zero stock values.","4","test_get_stock_zero_values","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test that ERPNext 404 errors are mapped to HTTP 404.","4","test_404_error_mapped_correctly","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestERPNextErrorMapping","test_endpoints","",""
"Test: PO data access denied due to permissions → handles gracefully.","1","test_po_access_permission_denied","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Test material request creation with success, non-dict response, and empty items.","8","test_create_material_request_various_scenarios","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientMaterialRequest","test_erpnext_client","",""
"Test get_value returns None for empty results.","9","test_get_value_with_empty_response","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientGetValueEdgeCases","test_additional_coverage","",""
"Test error when sales order doesn't exist.","2","test_sales_order_not_found_returns_error","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceErrorHandling","test_apply_service","",""
"Test 405 method not allowed response format.","2","test_405_method_not_allowed_format","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestErrorResponseFormats","test_main","",""
"Test get_sales_order_list with various parameter combinations.","2","test_get_sales_order_list_with_parameters[CUST-001-None-None-None-None-10-0]","tests.unit","Sat Feb 07 16:08:20 UTC 2026","passed","Sat Feb 07 16:08:20 UTC 2026","TestERPNextClientSalesOrderListParameters","test_erpnext_client","",""
"Test get_sales_order_list with various parameter combinations.","3","test_get_sales_order_list_with_parameters[None-None-None-None-None-50-100]","tests.unit","Sat Feb 07 16:08:20 UTC 2026","passed","Sat Feb 07 16:08:20 UTC 2026","TestERPNextClientSalesOrderListParameters","test_erpnext_client","",""
"Test that unsupported suggestion types return error.","0","test_create_unsupported_suggestion_type","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceCreateMaterialRequest","test_apply_service","",""
"Test applying promise with both comment and custom field.","1","test_apply_promise_with_both_actions","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceSuccessPath","test_apply_service","",""
"Test bin details with wrapped data, empty response, and direct list.","7","test_bin_details_various_responses","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientBinDetails","test_erpnext_client","",""
"Test that get_controller uses StockService when mock is disabled.","2","test_get_controller_with_stock_service_fallback","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestRoutesDependencyInjection","test_main","",""
"Test loading CSV and various queries.","1","test_with_existing_csv_and_queries","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestMockSupplyService","test_mock_supply_service","",""
"Test: Options (split_shipment, expedite_po) generated when promise misses desired_date.","1","test_options_generated_when_late","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestDesiredDateHandling","test_desired_date","",""
"Test: All from incoming PO → MEDIUM confidence.","0","test_promise_no_stock","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Expand group warehouse with no children defined.","0","test_expand_group_no_children","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestWarehouseGroupExpansion","test_warehouse_handling","",""
"Test OTP health endpoint returns mock supply message.","4","test_otp_health_check_with_mock_supply","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestOTPHealthCheckMockSupply","test_additional_coverage","",""
"Filter warehouses by type.","0","test_filter_available_warehouses","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestWarehouseGroupExpansion","test_warehouse_handling","",""
"Test: no_weekends=False allows weekend delivery dates.","0","test_no_weekends_false","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Test procurement suggestion handles ERPNext errors.","9","test_procurement_suggestion_erpnext_error","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestProcurementSuggestionErrorHandling","test_additional_coverage","",""
"Test that None rules defaults to PromiseRules().","0","test_calculate_promise_with_none_rules","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseServiceEdgeCases","test_promise_service","",""
"Test 400 when item_code is empty string.","3","test_get_stock_empty_item_code","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test updating a custom field on Sales Order.","2","test_update_custom_field","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientUpdateCustomField","test_erpnext_client","",""
"Test sales orders cache returns cached data.","4","test_sales_orders_cache_hit","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestOTPEndpointExceptionHandlers","test_endpoints","",""
"Test 500 on unexpected exception.","5","test_get_stock_unexpected_exception","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Test that HTTP errors trigger circuit breaker and proper error handling.","6","test_handles_http_errors","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientHTTPErrors","test_erpnext_client","",""
"Test that PO data is transformed to expected format.","1","test_transforms_po_data_correctly","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestStockServiceDataTransformation","test_stock_service","",""
"Test generic Exception handling in calculate_promise.","6","test_calculate_promise_generic_exception","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestOTPEndpointExceptionHandlers","test_endpoints","",""
"Test that settings loads with default values.","0","test_settings_loads_defaults","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestSettingsConfiguration","test_config","",""
"Test health check handles exceptions gracefully.","4","test_health_check_handles_exception","tests.unit","Sat Feb 07 16:08:20 UTC 2026","passed","Sat Feb 07 16:08:20 UTC 2026","TestHealthCheckEndpoint","test_main","",""
"Test that ERPNext 404 maps to 404 response.","4","test_sales_order_details_returns_404_on_missing","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","","test_sales_order_details_endpoint","",""
"Test that health check response has all required fields.","7","test_health_check_response_has_all_fields","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestHealthCheckResponseModel","test_main","",""
"Test applying promise with custom field only.","1","test_apply_promise_with_custom_field_only","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceSuccessPath","test_apply_service","",""
"Test custom warehouse classifications and finished goods/scrap.","1","test_custom_classifications","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestWarehouseClassification","test_warehouse_handling","",""
"Test _parse_po_row_from_row with enriched and standard columns.","1","test_parse_po_row_from_row_all_cases","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestMockSupplyServiceParsing","test_mock_supply_service","",""
"Test that error detail is included in development mode.","2","test_global_exception_handler_detail_in_development","tests.unit","Sat Feb 07 16:08:20 UTC 2026","passed","Sat Feb 07 16:08:20 UTC 2026","TestGlobalExceptionHandler","test_main","",""
"Test that endpoints return 422 for validation errors.","27","test_endpoint_validation_errors[/otp/promise-request_data0-422-None]","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestRoutesErrorHandling","test_main","",""
"Test _parse_stock_row with valid and invalid data.","0","test_parse_stock_rows_edge_cases","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestMockSupplyServiceParsing","test_mock_supply_service","",""
"Test that POs without schedule_date are skipped.","1","test_skips_pos_without_schedule_date","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestStockServiceEdgeCases","test_stock_service","",""
"Cutoff on Thursday should add 1 working day (skip to Sunday).","1","test_cutoff_on_thursday_adds_working_day","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestCutoffRuleWithCalendar","test_calendar_workweek","",""
"Test: Promise date adjusted to skip weekends (Fri-Sat).","0","test_skip_weekends","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Verify endpoint appears in OpenAPI schema.","124","test_sales_order_details_is_in_openapi","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:27 UTC 2026","","test_sales_order_details_endpoint","",""
"Test get_sales_order_list with various parameter combinations.","2","test_get_sales_order_list_with_parameters[None-None-None-None-SO--10-0]","tests.unit","Sat Feb 07 16:08:20 UTC 2026","passed","Sat Feb 07 16:08:20 UTC 2026","TestERPNextClientSalesOrderListParameters","test_erpnext_client","",""
"Test ERPNextClientError handling in calculate_promise.","5","test_calculate_promise_erpnext_error","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestOTPEndpointExceptionHandlers","test_endpoints","",""
"Test 404 error response format.","2","test_404_not_found_format","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestErrorResponseFormats","test_main","",""
"Test that demo_data router endpoints are accessible.","3","test_demo_data_router_included","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestRouterInclusion","test_main","",""
"Test sales order list with wrapped, direct, and non-list responses.","5","test_sales_order_list_various_responses","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientSalesOrderList","test_erpnext_client","",""
"Test: All items available in stock → HIGH confidence, immediate promise.","1","test_promise_all_from_stock","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Test material request with single item.","1","test_material_request_with_single_item","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestApplyServiceEdgeCases","test_apply_service","",""
"Test incoming supply with no POs.","1","test_get_incoming_supply_empty","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestStockServiceGetIncomingSupply","test_stock_service","",""
"Test health check returns False on error.","3","test_health_check_failure_on_error","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestERPNextClientHealthCheck","test_erpnext_client","",""
"Test that different warehouses make separate calls.","1","test_different_warehouses_separate_calls","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestStockServiceMultipleWarehouseScenarios","test_stock_service","",""
"Test that ERPNext errors return 502 Bad Gateway.","4","test_sales_order_details_returns_502_on_erpnext_error","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","","test_sales_order_details_endpoint","",""
"Test 422 when warehouse parameter is missing.","2","test_get_stock_missing_warehouse","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestItemStockEndpoint","test_items_endpoint","",""
"Processing lead time should count only working days.","0","test_processing_lead_time_counts_working_days","tests.unit","Sat Feb 07 16:08:17 UTC 2026","passed","Sat Feb 07 16:08:17 UTC 2026","TestPromiseCalculationWithCalendar","test_calendar_workweek","",""
"Test: Desired date set and promise meets it → on_time=True.","1","test_desired_date_on_time","tests.unit","Sat Feb 07 16:08:24 UTC 2026","passed","Sat Feb 07 16:08:24 UTC 2026","TestPromiseService","test_promise_service","",""
"Test that promise endpoint is registered.","1","test_promise_endpoint_exists","tests.api","Sat Feb 07 16:08:26 UTC 2026","passed","Sat Feb 07 16:08:26 UTC 2026","TestPromiseEndpointSuccessPath","test_endpoints","",""
